regionKey,userHash,startDate,endDate,revoked
07111,"$argon2id$v=19$m=19456,t=2,p=1$s9fN/UYw+bcPaEhr6bJPIvGqrwQxAd1pPvdckHU0Hnh",01.01.2027,30.09.2027,false
07111,"$argon2id$v=19$m=19456,t=2,p=1$GE4pObjnmocJOIWNSejXds1Z9Z6XVTOWWG7GzvE9cCF",01.01.2027,30.09.2027,false
07111,"$argon2id$v=19$m=19456,t=2,p=1$iYIeUpmGDH3ebRtFlp1EGGWt8R1LM/lcL6tWzhMaOeh",01.04.2026,31.10.2027,false
07111,"$argon2id$v=19$m=19456,t=2,p=1$yH02tP58BcZD6Q3wzICmZGwgkNyQgqtEudn7Rf77qBJ",01.09.2026,30.06.2027,false
07111,"$argon2id$v=19$m=19456,t=2,p=1$S4mQMC5iF05NEVz1mwgsAxHh+1MKFReHshZrCSUVnjN",01.04.2027,31.03.2028,false
07111,"$argon2id$v=19$m=19456,t=2,p=1$tShZF4vATbgMfO14eGJvZIEG5pt/eHQuHBsi71Rrnq9",01.11.2026,31.10.2028,false
07111,"$argon2id$v=19$m=19456,t=2,p=1$shPX/dZByugieH+n3jgD5+PsJ4wRcBTMy9isj5oFVu5",01.04.2026,31.10.2027,true
07111,"$argon2id$v=19$m=19456,t=2,p=1$Ilr4yFhsPz5mCsNAcDd2IN4m4rGUKevLr9ppSsc1xEV",01.04.2026,31.07.2027,false
07111,"$argon2id$v=19$m=19456,t=2,p=1$zjIlFbIlPzPqE2NzvcmsI7l/UfL8ecNYlsOqazQdb4d",01.08.2026,31.07.2027,false
07111,"$argon2id$v=19$m=19456,t=2,p=1$VStrHkldEBng93CtsR9fbPFSHjAfLiG0QN5zs1337KZ",01.09.2018,31.08.2027,true
07111,"$argon2id$v=19$m=19456,t=2,p=1$+l72T3tNeU3sOkwULZ02150N+NsbGJD6Q4DxtDmIhCV",11.06.2025,31.12.3000,false
07111,"$argon2id$v=19$m=19456,t=2,p=1$MJ2qzDC7og4aTcx83Gz8qY6gGJ2RSK3BFjSWJjPErmx",01.10.2008,30.11.2027,false
07111,"$argon2id$v=19$m=19456,t=2,p=1$IqVS/iR5Ur8yjqPqMLNoMLeaZPmR/KDqutgoVYjRp5h",01.05.2011,30.04.2027,false
07111,"$argon2id$v=19$m=19456,t=2,p=1$sSaU+WL1x/GWX41gooxWF9ZsmhIdycwvY0XvEdvdkth",05.10.2015,30.06.2027,false
07111,"$argon2id$v=19$m=19456,t=2,p=1$KHahGl+ZAFZWLKjqb98bqDwue8iw1+twspXU7nSXvoV",01.08.2015,31.07.2027,false
07111,"$argon2id$v=19$m=19456,t=2,p=1$co8lx+M+7iVoe65V795EC9ibOaN3x1hqWz2xynMxIi9",01.04.2021,31.05.2027,false
07111,"$argon2id$v=19$m=19456,t=2,p=1$K8D9fLNGP1rOavqWR0B/XOp4xR2XgCY4mSdcLyxC4Ed",01.09.2020,31.05.2027,false
07111,"$argon2id$v=19$m=19456,t=2,p=1$8ia1IxWRI/Jx325Ehh8muoRLdvxh3dq8mWlgzSTPOoJ",01.04.2025,30.04.2027,false
